CONTAINER ID   IMAGE                             COMMAND                  CREATED              STATUS                    PORTS                                                                            NAMES
3dd58cd3b4d2   kong:3.4                          "/docker-entrypoint.…"   About a minute ago   Up 58 seconds (healthy)   0.0.0.0:8000-8001->8000-8001/tcp, [::]:8000-8001->8000-8001/tcp, 8443-8444/tcp   hotelio-kong
82d86f11073c   task2-monolith                    "java -jar app.jar"      About a minute ago   Up About a minute         0.0.0.0:8084->8080/tcp, [::]:8084->8080/tcp                                      hotelio-monolith
6fe32bcaeb11   task2-booking-service             "java -jar app.jar"      49 minutes ago       Up 49 minutes             0.0.0.0:8085->8080/tcp, [::]:8085->8080/tcp                                      hotelio-booking-service
4b339ee54396   task2-booking-history-service     "java -jar app.jar"      49 minutes ago       Up 49 minutes             0.0.0.0:8086->8081/tcp, [::]:8086->8081/tcp                                      hotelio-booking-history-service
dd9dd74d247b   postgres:15                       "docker-entrypoint.s…"   59 minutes ago       Up 59 minutes             0.0.0.0:5435->5432/tcp, [::]:5435->5432/tcp                                      hotelio-db
878739daa502   confluentinc/cp-kafka:7.2.1       "/etc/confluent/dock…"   About an hour ago    Up 53 minutes             0.0.0.0:9092->9092/tcp, [::]:9092->9092/tcp                                      task2-kafka-1
3d8f684e46af   postgres:15                       "docker-entrypoint.s…"   About an hour ago    Up About an hour          0.0.0.0:5434->5432/tcp, [::]:5434->5432/tcp                                      hotelio-history-db
d1a2c0e88288   postgres:15                       "docker-entrypoint.s…"   About an hour ago    Up About an hour          0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp                                      hotelio-booking-db
e39bae8fe7c4   confluentinc/cp-zookeeper:7.2.1   "/etc/confluent/dock…"   About an hour ago    Up About an hour          2888/tcp, 0.0.0.0:2181->2181/tcp, [::]:2181->2181/tcp, 3888/tcp                  task2-zookeeper-1
3f5302acc0da   postgres:latest                   "docker-entrypoint.s…"   2 weeks ago          Up About an hour          0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                                      postgres-postgres-1
d48be24bade8   qdrant/qdrant                     "./entrypoint.sh"        2 weeks ago          Up About an hour          0.0.0.0:6333-6334->6333-6334/tcp, [::]:6333-6334->6333-6334/tcp                  qdrant
